==PROF== Connected to process 2293563 (/home/t-jialianggu/.conda/envs/sglang-dev/bin/python3.11)
input shape: torch.Size([1, 201])
Warmup done
Profiled section done
==PROF== Disconnected from process 2293563
==WARNING== No kernels were profiled.
Available Kernels:
1. CatArrayBatchedCopy
2. CatArrayBatchedCopy_alignedK_contig
3. DeviceCompactInitKernel
4. DeviceReduceSingleTileKernel
5. DeviceSelectSweepKernel
6. Kernel2
7. _scatter_gather_elementwise_kernel
8. bitonicSortKVInPlace
9. elementwise_kernel
10. elementwise_kernel_with_index
11. flash_fwd_splitkv_combine_kernel
12. flash_fwd_splitkv_kernel
13. gatherTopK
14. indexFuncLargeIndex
15. indexFuncSmallIndex
16. indexSelectSmallIndex
17. index_elementwise_kernel
18. nvjet_tst_16x64_64x16_4x2_v_bz_TNN
19. nvjet_tst_192x208_64x4_2x1_v_bz_coopB_TNT
20. nvjet_tst_24x64_64x16_4x1_v_bz_TNN
21. nvjet_tst_24x64_64x16_4x2_v_bz_TNN
22. nvjet_tst_384x8_64x4_2x1_v_bz_TNT
23. nvjet_tst_48x64_64x15_4x2_v_bz_TNN
24. nvjet_tst_64x104_64x10_2x1_v_bz_TNT
25. nvjet_tst_64x16_64x16_2x4_v_bz_TNT
26. nvjet_tst_64x16_64x16_4x1_v_bz_TNT
27. nvjet_tst_64x16_64x16_4x2_v_bz_TNT
28. nvjet_tst_64x24_64x16_2x4_v_bz_TNT
29. nvjet_tst_64x24_64x16_4x1_v_bz_TNT
30. nvjet_tst_64x32_64x16_2x4_v_bz_TNT
31. nvjet_tst_64x32_64x16_4x1_v_bz_TNT
32. nvjet_tst_64x40_64x16_1x2_h_bz_TNT
33. nvjet_tst_64x40_64x16_4x1_v_bz_TNT
34. nvjet_tst_64x48_64x15_4x1_v_bz_TNT
35. nvjet_tst_64x56_64x14_4x1_v_bz_TNT
36. nvjet_tst_64x64_64x13_4x1_v_bz_TNT
37. nvjet_tst_64x72_64x12_4x1_v_bz_TNT
38. nvjet_tst_64x8_64x16_2x1_v_bz_TNT
39. nvjet_tst_64x8_64x16_2x4_h_bz_TNT
40. nvjet_tst_64x8_64x16_2x4_v_bz_TNT
41. nvjet_tst_64x8_64x16_4x1_v_bz_TNT
42. nvjet_tst_64x8_64x16_4x1_v_bz_splitK_TNT
43. nvjet_tst_64x8_64x16_4x2_h_bz_TNT
44. nvjet_tst_64x8_64x16_4x2_v_bz_TNT
45. nvjet_tst_8x64_64x16_4x1_v_bz_TNN
46. reduce_kernel
47. softmax_warp_forward
48. splitKreduce_kernel
49. unrolled_elementwise_kernel
50. vectorized_elementwise_kernel
51. vectorized_gather_kernel
52. write_indices
