==PROF== Connected to process 2301527 (/home/t-jialianggu/.conda/envs/sglang-dev/bin/python3.11)
input shape: torch.Size([128, 201])
Warmup done
Profiled section done
==PROF== Disconnected from process 2301527
==WARNING== No kernels were profiled.
Available Kernels:
1. CatArrayBatchedCopy
2. CatArrayBatchedCopy_alignedK_contig
3. DeviceCompactInitKernel
4. DeviceReduceKernel
5. DeviceReduceSingleTileKernel
6. DeviceSelectSweepKernel
7. Kernel2
8. _scatter_gather_elementwise_kernel
9. bitonicSortKVInPlace
10. elementwise_kernel
11. elementwise_kernel_with_index
12. flash_fwd_kernel
13. gatherTopK
14. indexFuncLargeIndex
15. index_elementwise_kernel
16. nvjet_tst_112x128_64x7_1x2_h_bz_TNN
17. nvjet_tst_112x64_64x9_1x2_h_bz_TNN
18. nvjet_tst_128x128_64x6_2x1_v_bz_TNT
19. nvjet_tst_128x128_64x6_2x4_v_bz_TNT
20. nvjet_tst_128x128_64x6_4x1_v_bz_TNT
21. nvjet_tst_128x160_64x5_2x1_v_bz_TNT
22. nvjet_tst_128x160_64x5_2x4_v_bz_TNT
23. nvjet_tst_128x192_64x5_2x1_v_bz_coopB_TNN
24. nvjet_tst_128x256_64x4_1x4_h_bz_coopA_TNN
25. nvjet_tst_128x64_64x8_1x2_h_bz_TNT
26. nvjet_tst_128x64_64x8_2x4_v_bz_TNT
27. nvjet_tst_128x80_64x8_1x2_h_bz_TNT
28. nvjet_tst_128x96_64x7_1x2_h_bz_TNT
29. nvjet_tst_128x96_64x7_2x4_v_bz_TNT
30. nvjet_tst_144x128_64x6_1x2_h_bz_TNN
31. nvjet_tst_176x128_64x5_1x2_h_bz_TNN
32. nvjet_tst_176x128_64x5_2x1_v_bz_TNN
33. nvjet_tst_192x128_64x5_1x2_h_bz_coopB_TNT
34. nvjet_tst_192x128_64x5_2x1_v_bz_coopB_TNT
35. nvjet_tst_192x128_64x5_2x4_v_bz_coopB_TNT
36. nvjet_tst_192x128_64x5_4x2_h_bz_coopB_TNT
37. nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN
38. nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN
39. nvjet_tst_192x192_64x4_4x2_h_bz_coopB_TNN
40. nvjet_tst_192x96_64x5_1x2_h_bz_TNT
41. nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT
42. nvjet_tst_256x128_64x4_1x4_h_bz_coopA_TNT
43. nvjet_tst_256x128_64x4_2x1_v_bz_coopA_TNT
44. nvjet_tst_256x128_64x4_4x1_v_bz_coopA_TNT
45. nvjet_tst_256x128_64x4_4x2_h_bz_coopA_TNT
46. nvjet_tst_256x96_64x4_2x1_v_bz_coopA_TNT
47. nvjet_tst_320x128_64x3_1x1_v_bz_coopB_TNT
48. nvjet_tst_320x128_64x3_1x2_h_bz_coopB_TNT
49. nvjet_tst_48x64_64x15_4x2_v_bz_TNN
50. nvjet_tst_64x16_64x16_2x4_v_bz_TNT
51. nvjet_tst_64x24_64x16_2x4_v_bz_TNT
52. nvjet_tst_64x32_64x16_1x2_h_bz_TNT
53. nvjet_tst_64x32_64x16_2x4_v_bz_TNT
54. nvjet_tst_64x48_64x15_2x4_v_bz_TNT
55. nvjet_tst_64x64_64x13_2x1_v_bz_TNT
56. nvjet_tst_64x64_64x13_4x2_h_bz_TNT
57. nvjet_tst_64x80_64x11_4x2_h_bz_TNT
58. nvjet_tst_64x8_64x16_2x4_v_bz_TNT
59. nvjet_tst_64x96_64x10_2x1_v_bz_TNT
60. nvjet_tst_72x128_64x8_1x2_h_bz_TNN
61. nvjet_tst_72x64_64x12_1x2_h_bz_TNN
62. nvjet_tst_88x128_64x7_1x2_h_bz_TNN
63. nvjet_tst_88x64_64x11_1x2_h_bz_TNN
64. nvjet_tst_96x128_64x7_2x1_v_bz_TNN
65. nvjet_tst_96x64_64x10_1x2_h_bz_TNN
66. reduce_kernel
67. softmax_warp_forward
68. unrolled_elementwise_kernel
69. vectorized_elementwise_kernel
70. vectorized_gather_kernel
71. write_indices
